Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income
44,Bachelor's,Technology,4,Urban,27,Single,Part-time,7,Own,Single-family home,Female,Public transit,75212
45,Bachelor's,Healthcare,2,Suburban,19,Married,Full-time,7,Rent,Single-family home,Female,Car,728247
68,Doctorate,Education,5,Rural,26,Single,Part-time,5,Own,Single-family home,Male,Car,69156
53,Master's,Technology,0,Urban,25,Married,Full-time,1,Own,Apartment,Male,Public transit,74334
44,Bachelor's,Technology,2,Urban,16,Married,Full-time,6,Own,Townhouse,Female,Biking,75290
42,Bachelor's,Others,4,Urban,10,Married,Part-time,7,Own,Single-family home,Male,Public transit,374466
56,High School,Finance,5,Urban,40,Single,Part-time,3,Own,Single-family home,Female,Biking,69268
40,High School,Education,3,Urban,39,Single,Full-time,2,Own,Single-family home,Male,Biking,66420
44,High School,Healthcare,5,Urban,50,Married,Self-employed,4,Own,Single-family home,Male,Car,71566
45,High School,Education,3,Urban,45,Married,Self-employed,7,Rent,Single-family home,Male,Biking,1658638
37,High School,Technology,1,Urban,40,Single,Part-time,6,Own,Townhouse,Female,Biking,74626
54,Bachelor's,Technology,2,Rural,23,Married,Full-time,1,Rent,Single-family home,Female,Public transit,2893692
66,High School,Finance,0,Urban,14,Single,Full-time,2,Rent,Apartment,Male,Public transit,546575
55,Master's,Finance,5,Urban,7,Married,Part-time,3,Own,Single-family home,Male,Public transit,73194
43,Bachelor's,Technology,5,Urban,48,Single,Full-time,1,Rent,Apartment,Male,Car,1213897
21,High School,Healthcare,4,Rural,28,Single,Self-employed,5,Rent,Apartment,Male,Biking,76818
37,Bachelor's,Technology,1,Urban,47,Single,Part-time,6,Own,Townhouse,Female,Walking,115602
70,Doctorate,Education,5,Urban,4,Single,Full-time,7,Own,Apartment,Male,Car,66668
25,Bachelor's,Education,2,Urban,29,Single,Full-time,1,Own,Townhouse,Male,Public transit,73828
22,Bachelor's,Others,4,Urban,35,Married,Part-time,2,Rent,Apartment,Female,Car,66908
35,Master's,Technology,1,Suburban,47,Married,Full-time,5,Own,Apartment,Male,Public transit,67558
44,Doctorate,Finance,3,Suburban,43,Married,Part-time,7,Rent,Single-family home,Male,Car,73594
29,Master's,Healthcare,5,Rural,4,Married,Part-time,1,Own,Single-family home,Female,Car,72266
19,Master's,Technology,4,Rural,14,Married,Self-employed,1,Own,Apartment,Male,Biking,9471717
64,Doctorate,Healthcare,1,Urban,9,Married,Full-time,3,Own,Apartment,Male,Car,68116
45,High School,Education,0,Suburban,16,Divorced,Full-time,3,Own,Apartment,Female,Walking,1115645
50,Bachelor's,Healthcare,2,Urban,21,Married,Full-time,1,Rent,Townhouse,Female,Biking,6730067
40,Master's,Others,2,Suburban,21,Single,Self-employed,7,Own,Single-family home,Male,Biking,71924
48,High School,Others,1,Urban,4,Married,Full-time,6,Own,Apartment,Male,Biking,87295
