iter	RMSE
0	1821921.011
1	1812327.442
2	1802539.239
3	1793336.873
4	1785494.178
5	1777763.841
6	1771006.079
7	1764352.461
8	1757021.486
9	1753307.913
10	1749169.485
11	1743959.058
12	1738755.926
13	1732667.954
14	1729000.216
15	1724440.365
16	1719726.227
17	1713362.484
18	1710038.09
19	1705057.116
20	1701195.958
21	1697876.478
22	1693826.365
23	1688813.689
24	1685173.712
25	1681594.259
26	1681416.122
27	1676147.283
28	1673705.783
29	1668840.174
30	1666130.755
31	1661063.903
32	1656601.046
33	1654270.269
34	1648143.474
35	1643210.295
36	1639619.137
37	1634546.774
38	1631319.548
39	1628270.916
40	1624042.054
41	1620783.639
42	1615871.133
43	1612750.238
44	1610284.021
45	1604487.882
46	1600099.766
47	1597425.287
48	1594611.198
49	1590936.244
50	1588822.699
51	1584138.749
52	1580085.427
53	1576966.883
54	1574557.708
55	1570942.799
56	1569125.076
57	1565309.25
58	1561619.055
59	1559230.766
60	1556432.044
61	1554166.505
62	1550904.353
63	1547202.437
64	1543958.597
65	1540739.332
66	1537599.706
67	1534354.559
68	1531207.319
69	1528610.131
70	1525992.15
71	1522098.508
72	1518097.417
73	1515306.285
74	1511071.385
75	1507794.331
76	1503049.966
77	1500637.204
78	1499341.898
79	1497031.082
80	1494810.478
81	1492539.887
82	1489692.95
83	1487440.367
84	1484033.131
85	1480132.849
86	1476714.721
87	1473963.492
88	1471515.045
89	1467297.411
90	1462011.518
91	1459550.173
92	1456455.147
93	1454050.814
94	1450174.961
95	1447242.787
96	1444693.915
97	1442893.948
98	1439081.582
99	1436743.07
