iter	Passed	Remaining
0	14	1469
1	27	1340
2	40	1307
3	51	1240
4	63	1215
5	75	1179
6	87	1160
7	101	1169
8	118	1199
9	133	1202
10	148	1204
11	163	1199
12	181	1214
13	196	1204
14	208	1183
15	220	1158
16	234	1144
17	248	1132
18	257	1097
19	274	1099
20	287	1080
21	301	1069
22	319	1069
23	330	1046
24	344	1034
25	358	1020
26	359	972
27	382	983
28	398	975
29	410	958
30	422	940
31	438	932
32	449	912
33	459	892
34	473	880
35	491	873
36	508	865
37	519	846
38	531	831
39	546	819
40	561	808
41	580	801
42	595	789
43	608	774
44	622	760
45	633	744
46	646	729
47	658	713
48	675	702
49	691	691
50	708	680
51	724	668
52	740	656
53	757	644
54	773	632
55	787	618
56	800	604
57	818	592
58	831	578
59	848	565
60	862	551
61	873	535
62	885	519
63	898	505
64	916	493
65	928	478
66	940	463
67	952	448
68	966	434
69	985	422
70	1001	409
71	1015	394
72	1066	394
73	1089	382
74	1107	369
75	1120	353
76	1135	339
77	1150	324
78	1167	310
79	1184	296
80	1202	281
81	1219	267
82	1233	252
83	1246	237
84	1262	222
85	1276	207
86	1286	192
87	1300	177
88	1314	162
89	1330	147
90	1348	133
91	1365	118
92	1383	104
93	1399	89
94	1410	74
95	1424	59
96	1438	44
97	1451	29
98	1464	14
99	1478	0
